Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cytokine-mediated signaling pathway (GO:0019221)	125/621	3.526182414700257e-32	1.3455912094496179e-28	0	0	4.062312991565029	294.2028917137055	IFITM3;CD86;CNTF;IL1RN;SPI1;CSF3R;IFITM2;CSF1;SLA;IFI35;IFI30;IFIT1;FGF2;IFIT3;ICAM1;IFIT2;PYCARD;MYC;TRIM25;MAP3K8;B2M;IL13RA1;IFNAR2;RSAD2;TALDO1;IFI27;PSME1;PSME2;CSF1R;EBI3;CSF2RB;TNFRSF11A;HIF1A;SOCS3;SOCS1;INPP5D;HMOX1;TNFRSF17;TNFRSF14;CD300LF;MSN;ISG15;NFKB1;BST2;ISG20;CXCL10;LCN2;TNFSF9;TNFSF8;XAF1;MYD88;CXCL9;ITGAM;TNFRSF13B;ITGB2;EDA2R;CXCL5;IL18BP;TNFSF13B;ITGAX;CASP1;CCR5;JAK3;FCER1G;ANXA2;SYK;GPR35;IFNGR1;RIPK2;IL15;IRAK3;TRAF1;IRAK4;TNFRSF1B;OSMR;F3;VAV1;TNFRSF1A;HCK;IL1A;AIM2;LCK;OAS2;IL1B;IRF1;OAS3;IL3RA;IRF7;XCL1;IRF8;IRF5;LCP1;LTB;IRF9;BIRC3;SP100;PTAFR;IL2RG;SAMHD1;PSMA8;IL1RL2;MUC1;CCL7;ALOX5;CCL4;CCL3;IL21R;CCL2;GBP2;IL33;IL10RB;STAT1;IL10RA;MX2;STAT3;MX1;OSM;PSMB8;PSMB9;BATF;TEC;CLCF1;PTPN6;LTBR;CRLF2
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	103/488	2.3228179948784028e-28	4.431936734227992e-25	0	0	4.255945441040762	270.8041124288874	TMEM179B;GMFG;PYCARD;STK10;LGALS3;PNP;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;OSTF1;B2M;TICAM2;CD300A;SLC11A1;CYBB;CYBA;UNC13D;ARHGAP45;TYROBP;BIN2;CRISPLD2;PADI2;HVCN1;C5AR1;MGST1;GPR84;GNS;C3;DPP7;ALDH3B1;NCKAP1L;CD14;GSDMD;CTSA;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;ITGAL;SLC2A5;CTSS;HK3;GLIPR1;GM2A;NAPRT;ITGAX;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA2;ANXA3;NFAM1;PLAUR;TMC6;IRAK4;TNFRSF1B;VAMP8;FGR;NPC2;DOCK2;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;PRCP;CST3;ALOX5;CREG1;STOM;AGA;LAIR1;GSN;CARD9;CMTM6;FABP5;STING1;PTPN6;CD68
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	102/485	5.854590559663086e-28	7.447039191891445e-25	0	0	4.233427147265267	265.4577119668246	TMEM179B;GMFG;PYCARD;STK10;LGALS3;PNP;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;OSTF1;B2M;TICAM2;CD300A;SLC11A1;CYBB;CYBA;UNC13D;ARHGAP45;TYROBP;BIN2;CRISPLD2;PADI2;HVCN1;C5AR1;MGST1;GPR84;GNS;C3;DPP7;ALDH3B1;NCKAP1L;CD14;GSDMD;CTSA;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;ITGAL;SLC2A5;CTSS;HK3;GLIPR1;GM2A;NAPRT;ITGAX;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA2;SYK;ANXA3;NFAM1;PLAUR;TMC6;TNFRSF1B;VAMP8;FGR;NPC2;DOCK2;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;PRCP;CST3;ALOX5;CREG1;STOM;AGA;LAIR1;GSN;CMTM6;FABP5;STING1;PTPN6;CD68
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	101/481	1.2360545709753878e-27	1.17919606071052e-24	0	0	4.222051994172282	261.58936126067204	TMEM179B;GMFG;PYCARD;STK10;LGALS3;PNP;PLAU;FTH1;CLEC5A;LAMP2;C3AR1;OSTF1;B2M;TICAM2;CD300A;SLC11A1;CYBB;CYBA;UNC13D;ARHGAP45;TYROBP;BIN2;CRISPLD2;PADI2;HVCN1;C5AR1;MGST1;GPR84;GNS;C3;DPP7;ALDH3B1;NCKAP1L;CD14;GSDMD;CTSA;GGH;PRDX6;NFKB1;DERA;BST2;PTPRC;LCN2;MAN2B1;HPSE;ARHGAP9;ITGAM;B4GALT1;HEXB;ITGB2;SNAP23;CTSZ;PYGL;TCIRG1;ITGAL;SLC2A5;CTSS;HK3;GLIPR1;GM2A;NAPRT;ITGAX;CTSH;GUSB;CTSD;CD33;CTSC;CTSB;CD53;FCER1G;ANXA2;ANXA3;NFAM1;PLAUR;TMC6;TNFRSF1B;VAMP8;FGR;NPC2;DOCK2;DNASE1L1;TLR2;CD63;ASAH1;GRN;MVP;PTAFR;FGL2;PRCP;CST3;ALOX5;CREG1;STOM;AGA;LAIR1;GSN;CMTM6;FABP5;STING1;PTPN6;CD68
GO_Biological_Process_2021	positive regulation of cytokine production (GO:0001819)	81/335	1.2801389687279646e-26	9.770020609331824e-24	0	0	5.013689137072152	298.9173685717723	CD86;CGAS;PTPN22;PIK3CG;IFIH1;PYCARD;PNP;MDK;DHX58;LGALS9;HAVCR2;ZBP1;GBP5;FCER1G;SYK;IL15;RIPK2;DDX58;SLC11A1;NFAM1;SERPINF2;CYBA;F3;RUNX1;TLR1;FGR;IL1A;TYROBP;IL1B;IRF1;IRF7;XCL1;CD226;TLR7;IRF5;TLR6;LTB;RAB7B;TLR4;TMEM106A;TLR2;PTGER4;CD274;CSF1R;TMED10;EBI3;LPL;HIF1A;LY9;AIF1;AGER;C3;CLEC7A;PLCG2;S100A13;HMOX1;SLAMF6;TNFRSF14;CD14;FADD;TIGIT;CD74;IL33;CARD9;STAT3;LAPTM5;OSM;EIF2AK2;ISG15;POU2F2;SCIMP;NFKB1;BATF;NFKB2;CD2;LACC1;PTPRC;STING1;HPSE;MYD88;CRLF2
GO_Biological_Process_2021	cellular response to cytokine stimulus (GO:0071345)	97/482	4.281729718453992e-25	2.7231801009367393e-22	0	0	3.987295118674429	223.7282067035351	CD86;CNTF;IL1RN;CSF3R;IFITM2;CSF1;SLA;AQP4;CIB1;IFIT1;FGF2;ICAM1;PYCARD;ZFP36;MYC;LGALS9;SOX9;IL13RA1;GBP6;IFNAR2;GBP5;GBP7;CSF1R;EBI3;CSF2RB;HIF1A;SOCS3;SBNO2;SOCS1;INPP5D;HMOX1;ST3GAL6;NFKB1;CXCL10;LCN2;TDGF1;NFE2L2;ITGAM;DOCK8;ITGB2;IL18BP;ITGAX;CASP1;LDLRAP1;CCR5;JAK3;SYK;IFNGR1;IRAK3;IRAK4;TNFRSF1B;OSMR;F3;VAV1;TNFRSF1A;DCSTAMP;HCK;IL1A;AIM2;LCK;IL1B;IRF1;IL3RA;HCLS1;XCL1;IRF8;IRF5;TLR4;TLR2;ASAH1;SELPLG;PTAFR;IL2RG;AIF1;IL1RL2;MUC1;CCL7;ALOX5;CCL4;CCL3;CCL2;GBP2;GBP4;GBP3;PTPN18;IL10RB;STAT1;IL10RA;STAT3;ERBIN;OSM;BATF;TEC;AXL;CLCF1;PTPN6;CRLF2
GO_Biological_Process_2021	regulation of immune response (GO:0050776)	49/179	5.309233654870655e-19	2.894290803855203e-16	0	0	5.807673204279165	244.38496762461267	ITGB2;CD3G;PTPN22;TREM2;ITGAL;CD3D;ICAM1;IL4I1;CASP8;DHX58;ITGB7;B2M;CD33;LAG3;RSAD2;RIPK3;SYK;CD300A;IL15;FGR;CD200R1;PLSCR1;TYROBP;CD8A;IRF1;IRF7;CD226;HCST;BIRC3;COLEC12;SAMHD1;ADCY7;C3;KLRK1;CD300LB;SLAMF7;SLAMF6;KLRC1;CD300LF;LAIR1;LYN;ERAP1;PILRA;TREML2;KLRD1;CD247;PDCD1;FCGR2B;CD22
GO_Biological_Process_2021	regulation of tumor necrosis factor production (GO:0032680)	39/124	1.1084210519495736e-17	5.287168417799466e-15	0	0	7.028513474355259	274.40026521680016	CX3CR1;C5AR2;LPL;LY96;PTPN22;CLU;AGER;VSIR;PYCARD;IFIH1;ZFP36;CLEC7A;PLCG2;CCL3;LGALS9;CD14;FADD;CD33;HAVCR2;IL33;SYK;DDX58;IFNGR1;STAT3;CYBA;IRAK3;IGF1;TLR1;CD2;IL1A;TYROBP;PTPRC;FRMD8;OAS2;OAS3;PTPN6;TLR4;TMEM106A;TLR2
GO_Biological_Process_2021	cellular response to type I interferon (GO:0071357)	28/65	3.45660912404426e-17	1.3190420417352895e-14	0	0	11.518219602841246	436.582662288644	IFITM3;SP100;IFITM2;IFI35;IFIT1;SAMHD1;IFIT3;IFIT2;GBP2;IFNAR2;RSAD2;STAT1;MX2;MX1;ISG15;PSMB8;BST2;ISG20;IFI27;OAS2;IRF1;OAS3;IRF7;IRF8;IRF5;XAF1;IRF9;MYD88
GO_Biological_Process_2021	type I interferon signaling pathway (GO:0060337)	28/65	3.45660912404426e-17	1.3190420417352895e-14	0	0	11.518219602841246	436.582662288644	IFITM3;SP100;IFITM2;IFI35;IFIT1;SAMHD1;IFIT3;IFIT2;GBP2;IFNAR2;RSAD2;STAT1;MX2;MX1;ISG15;PSMB8;BST2;ISG20;IFI27;OAS2;IRF1;OAS3;IRF7;IRF8;IRF5;XAF1;IRF9;MYD88
