Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of nucleic acid-templated transcription (GO:1903508)	47/511	3.510013e-05	5.414567e-02	0	0	1.989916e+00	2.041118e+01	HDAC4;YAP1;CASZ1;CITED2;NOTCH4;FOXK1;RSF1;CTCF;AHR;MED16;GLI3;GLIS2;LRP6;SOX2;NPAT;MED14;ZXDC;AKT1;DVL3;EPC1;PCBD2;BRD7;PPARGC1A;RNF111;YWHAH;FZD1;TBX1;FZD2;BRPF1;TGFB1;FOXF2;FBXW11;FZD7;INHBA;KLF4;RGMB;TRERF1;KLF2;POU3F3;SFRP1;ELF2;TBL1XR1;KAT6A;WAC;TCF3;NAA15;PLCB1
GO_Biological_Process_2021	dendrite morphogenesis (GO:0048813)	9/36	4.865038e-05	5.414567e-02	0	0	6.443313e+00	6.398758e+01	MEF2A;FARP1;KLF7;MAP2;CTNND2;TMEM106B;WASL;EPHB1;EPHB3
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	89/1183	5.091791e-05	5.414567e-02	0	0	1.615783e+00	1.597249e+01	PRDM4;LDB1;CITED2;RSF1;CTCF;WASL;AHR;YBX1;MED16;GLI3;YY1;SOX2;RPTOR;PPP3CA;MED14;DBP;RPS6KA5;ZXDC;AKT1;EPC1;RNF111;PELP1;YWHAH;MEF2A;PPP1R12A;FBXW11;TCF12;PTOV1;RGMB;KLF15;POU3F3;RGMA;SFRP1;ELF2;TFDP1;TBL1XR1;KAT6A;IRF2;WAC;PRKD1;PLCB1;YAP1;HDAC4;RNASEL;CASZ1;DHX9;TNKS;KMT2C;NOTCH4;CEBPG;FOXK1;NR2C2;GLIS2;LRP6;NPAT;NRIP1;DVL3;RIPK1;PCBD2;BRD7;PPARGC1A;MEF2D;TBX1;FZD1;ESRRA;JAG1;BRPF1;FZD2;TGFB1;FOXF2;NFYB;FZD7;EIF2AK3;INHBA;KLF4;TRERF1;MTOR;KLF2;VEGFA;SMAD7;ASXL1;PER1;KLF7;ASXL2;RFXAP;CREBRF;TCF3;NAA15;BMPR1A
GO_Biological_Process_2021	negative regulation of transcription, DNA-templated (GO:0045892)	74/948	7.071111e-05	5.414567e-02	0	0	1.674436e+00	1.600243e+01	RB1;LDB1;CITED2;EHMT1;OTUD7B;ARID4A;RSF1;CTCF;AHR;GLI3;YY1;SOX2;RPS6KA5;BASP1;EPC1;KMT5A;CIC;MEF2A;PRMT6;NCOA5;SFMBT1;FBXW11;NOG;FOXP4;POU3F3;SAP30;TLE5;HIC2;SFRP1;RIPPLY2;TBL1XR1;KAT6A;IRF2;PLCB1;VGLL4;YAP1;HDAC4;URI1;NOTCH4;FOXK1;NR2C2;ZBTB4;GLIS2;SCRT2;MNT;RBM15B;ORC2;TPR;NRIP1;BRD7;ZBTB7A;E2F6;CBX6;MYPOP;TGFB1;ATP8B1;GADD45A;PHF12;IRF2BP1;IRF2BP2;KLF4;TRERF1;KLF2;NR2F6;VEGFA;SMAD7;PER1;KLF7;GCLC;RIOX1;MDM4;TCF3;INSM1;CDK5R1
GO_Biological_Process_2021	regulation of protein ubiquitination (GO:0031396)	16/109	9.138156e-05	5.414567e-02	0	0	3.337811e+00	3.104320e+01	AMER1;NDFIP2;FOXF2;DCUN1D1;XIAP;UBE3A;SENP2;INAVA;SMAD7;PINK1;U2AF2;ADGRB1;FBXO4;UBQLN1;AKT1;TSPYL5
GO_Biological_Process_2021	positive regulation of protein modification by small protein conjugation or removal (GO:1903322)	13/77	9.643041e-05	5.414567e-02	0	0	3.934768e+00	3.638358e+01	AMER1;HDAC4;NDFIP2;DCUN1D1;XIAP;UBE3A;SENP2;INAVA;SMAD7;PINK1;FBXO4;UBQLN1;TSPYL5
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	32/322	1.505318e-04	7.244882e-02	0	0	2.153853e+00	1.895678e+01	RB1;OPRD1;YAP1;PRKAA2;CITED2;YBX1;PPM1D;ZFP36L2;YY1;SYNCRIP;RPS6KA5;H3C13;NOCT;EPC1;ITGB8;NANOS1;NDFIP2;CENPV;TGFB1;EIF2AK3;ADAM10;ATP2B1;KLF4;VEGFA;TLE5;SFRP1;TWSG1;PINK1;AGO4;LSM14A;DCP2;BMPR1A
GO_Biological_Process_2021	regulation of microtubule binding (GO:1904526)	4/7	1.859186e-04	7.829498e-02	0	0	2.567511e+01	2.205544e+02	PPP2CA;PPP2CB;MAP2;TTBK2
GO_Biological_Process_2021	regulation of cell-cell adhesion (GO:0022407)	9/43	2.133327e-04	7.985754e-02	0	0	5.114862e+00	4.323417e+01	AFDN;TENM3;JAG1;TGFB1;CITED2;SRC;ZDHHC2;EPHB3;SMAD7
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	69/908	2.698598e-04	8.762885e-02	0	0	1.620732e+00	1.331854e+01	PRDM4;LDB1;CITED2;RSF1;WASL;AHR;YBX1;MED16;GLI3;YY1;SOX2;PPP3CA;MED14;RPS6KA5;DBP;EPC1;RNF111;PELP1;MEF2A;PPP1R12A;TCF12;PTOV1;KLF15;RGMA;TFDP1;TBL1XR1;KAT6A;IRF2;PRKD1;YAP1;HDAC4;RNASEL;CASZ1;DHX9;TNKS;KMT2C;NOTCH4;CEBPG;NR2C2;GLIS2;LRP6;NPAT;NRIP1;DVL3;RIPK1;PPARGC1A;MEF2D;TBX1;ESRRA;JAG1;TGFB1;FOXF2;NFYB;MICAL2;INHBA;KLF4;TRERF1;KLF2;VEGFA;SMAD7;ASXL1;PER1;KLF7;ASXL2;RFXAP;CREBRF;TCF3;CDK13;BMPR1A
